Wellhead Temp. (C),Wellhead Press (psi),MMCFD- gas,BOPD (barrel of oil produced per day),BWPD (barrel of water produced per day),BSW - basic solid and water (%),CO2 mol. (%) @ 25 C & 1 Atm.,Gas Grav.,CR-corrosion defect
53.3549,1105.131,12.8663,1378.9315,2812.6157,75.6442,3.3628,0.7205,0.22445909609996195
72.2534,1026.3148,3.4239,1028.7463,919.9169,44.2063,3.8679,0.894,0.22616891010244333
65.0794,722.9642,6.2303,2017.9195,1212.4212,17.5518,2.3552,0.7661,0.2305312946046574
60.706,1557.2321,11.7114,558.221,1716.0908,65.7869,1.7253,0.7738,0.2303342497291302
46.1874,1304.4192,8.575,1280.4693,1929.2197,37.4468,1.8327,0.7611,0.220248725631751
46.1866,2057.3413,13.0147,1500.4532,2287.2612,53.1291,3.2013,0.8966,0.21320596352083113
42.9751,444.2169,16.8685,1745.8922,2409.6569,9.6906,2.733,0.9272,0.2537678298386298
69.4806,1628.0610000000001,2.2474,926.303,4266.7639,56.4231,2.4396,0.8778,0.20138425818868574
60.7866,1858.5005,12.5126,1474.4356,4766.2134,33.4246,1.4126,0.8929,0.216874055002821
64.2948,1851.8004,4.2173,723.1264,2905.0477,29.9163,3.8475,0.8481,0.1865633523362777
41.7452,2096.766,7.4046,982.1148,8454.5594,87.4699,3.5057,0.8279,0.19473599254427962
72.883,1792.8696,0.7989,1883.0721,5170.2342,38.6725,1.1877,0.8704,0.16596870462617
68.3741,2177.5316,2.5826,1989.3511,7343.3954,60.5636,2.0084,0.7190000000000001,0.22908541132826626
48.0347,1025.8204,5.7653,1536.8856,8611.6682,56.0794,2.641,0.7247,0.2327930386257549
47.0339,1355.8657,6.1498,862.436,1553.4679999999998,9.4266,2.3232,0.8628,0.19716547775161208
47.0857,409.3263,15.8018,1735.1104,4008.5682,66.7928,2.1185,0.7851,0.24880502921979653
51.0491,395.54400000000004,13.0708,180.1167,4058.0516,28.9332,3.2806,0.8190000000000001,0.27415074288569613
58.282,846.7610000000001,17.0585,330.6424,3327.8616,71.3395,0.8759,0.8838,0.21826199009258232
55.2378,577.1569999999999,10.5999,1424.4133,123.1999,54.288999999999994,2.385,0.8385,0.27677530884769846
50.6223,885.628,4.4141,699.7231,7607.6497,28.3924,1.6276,0.8889,0.21567406477212747
61.1388,724.6853,5.9017,1992.2462,1075.1721,31.8864,0.9849,0.8036,0.21747523157440332
45.6454,437.2705,5.7664,983.2592,9272.3486,65.3293,2.3614,0.7746,0.2267858012440298
50.6523,2141.7199,5.8816,970.1491,7208.7565,49.1568,1.2989,0.763,0.18492166092200402
53.0867,397.99300000000005,11.879000000000001,1457.1226,5419.4199,59.7001,1.6133,0.7402,0.24412204367616006
56.0291,1806.5094,9.4183,1632.3385,1474.3758,14.2409,2.5138,0.7192,0.1944167086213247
66.8238,676.5089999999999,6.9017,1060.595,4820.184,70.2732,4.2031,0.7228,0.2105477444638104
47.6193,2147.3812,2.8107,548.4752,2462.0411,28.6865,3.1554,0.7709,0.18129532916677202
57.9369,2109.7741,0.6132,1643.5774,2380.5608,55.3782,1.6907,0.7726,0.14912445350664774
60.5012,1647.4768,4.018,756.705,7733.3739,10.3514,2.0628,0.7954,0.19085434225312636
42.5936,1682.9539,2.0903,472.3299,3570.5732,28.7782,2.1487,0.8417,0.1849797827484115
60.9975,392.412,13.8261,1366.1962,4220.4648,57.9635,1.2347,0.8788,0.2440400376580293
46.6632,2287.9542,2.1773,306.5747,7857.9699,24.57,1.2601,0.7548,0.16201819360412725
43.2037,2080.8178,12.7664,2031.3397,854.7495,78.5922,1.2157,0.8787,0.2098450012374405
72.1934,2114.2448,6.9058,1367.6785,5554.8879,59.0653,2.5669,0.7418,0.20974500058659204
72.7427,1657.8171,1.5002,2059.814,5402.7799,77.6979,3.1189999999999998,0.9294,0.2375466076295217
67.5854,1049.2944,14.2984,793.0098,3983.9011,35.3712,2.8168,0.774,0.23825553954850767
51.0613,2111.4242,10.2634,2031.0509,7735.6496,3.1591,4.2178,0.8959999999999999,0.14956997375589842
44.2736,946.209,4.311,414.4751,8784.6424,51.4814,1.1342,0.7532,0.20447278658439347
63.5128,1471.0112,15.7169,209.1487,4355.9719,30.3623,4.2493,0.9209999999999999,0.20441352901421175
55.507,575.0744,1.0134,194.0515,4270.7581,40.077,2.3678,0.8936,0.25162141743937716
45.0729,2166.2024,3.7235,1039.6676,4696.5733,60.8374,1.47,0.7905,0.16600579472628355
57.3118,654.492,13.2479,291.9889,6746.6092,62.5802,4.093,0.8042,0.18894719104455326
42.1979,817.2891,12.5093,1132.2742,6235.9673,2.5861,2.3748,0.7119,0.22776682900419795
70.8957,1462.1533,5.2373,770.7029,2107.1033,68.6979,1.9359,0.7666,0.21396494534791197
49.558,1860.7146,1.3037,786.6181,633.1531,44.1173,1.4525,0.775,0.1377425754867827
62.8007,1580.6177,15.0833,1373.967,8843.6606,49.7486,1.6482,0.8111,0.22347793012123865
51.2941,831.2939,5.6601,448.8094,2461.6796,26.6902,4.2231,0.7418,0.22971146381164503
58.1282,383.9049,3.6178,1630.3508,5962.7321,37.6389,1.7789,0.8168,0.2391519528862991
59.0021,1847.2799,9.163,1269.0633,7723.2541,63.4457,4.218,0.8587,0.1725087251498208
47.1332,2288.604,15.985999999999999,1920.895,2825.2715,69.3585,1.8739,0.7931,0.2238580744464292
72.8724,1949.3834,0.9838,843.8134,5933.3971,34.6328,1.5163,0.7624,0.15478021418322654
66.4944,1272.6488,13.4861,2053.5866,1041.2391,61.7293,1.3423,0.8320000000000001,0.24907600305423566
71.8856,2131.0052,10.1395,1256.9175,9035.4147,23.1294,2.1694,0.7175,0.2240623155488496
70.4203,1175.1967,7.5945,2035.3521,579.9495,74.2882,1.5358,0.7864,0.2388634604282401
60.6811,1397.9062,13.11,182.4537,4104.0886,54.4827,3.2013,0.8276,0.24766147009034656
71.3075,1305.3977,16.9484,1554.8185,5018.8838,69.2224,1.5465,0.7853,0.2165065450621639
43.9726,1248.2993,4.1976,1728.3823,7371.2613,42.6588,3.7025,0.7874,0.2048743716191952
47.4982,1882.1904,2.7165,233.5812,1163.9135,20.5505,3.6975,0.8984,0.20199899957453116
42.5535,1401.4569,16.032,1263.0694,4128.5089,38.3874,1.7121,0.9173,0.23248712815989034
