Wellhead Temp. (C),Wellhead Press (psi),MMCFD- gas,BOPD (barrel of oil produced per day),BWPD (barrel of water produced per day),BSW - basic solid and water (%),CO2 mol. (%) @ 25 C & 1 Atm.,Gas Grav.,CR-corrosion defect
53.35,"1,105.13",12.87,"1,378.93","2,812.62",75.64,3.3628,0.7205,0.2245
72.25,"1,026.31",3.42,"1,028.75",919.92,44.21,3.8679,0.894,0.2262
65.08,722.96,6.23,"2,017.92","1,212.42",17.55,2.3552,0.7661,0.2305
60.71,"1,557.23",11.71,558.22,"1,716.09",65.79,1.7253,0.7738,0.2303
46.19,"1,304.42",8.58,"1,280.47","1,929.22",37.45,1.8327,0.7611,0.2202
46.19,"2,057.34",13.01,"1,500.45","2,287.26",53.13,3.2013,0.8966,0.2132
42.98,444.22,16.87,"1,745.89","2,409.66",9.69,2.733,0.9272,0.2538
69.48,"1,628.06",2.25,926.30,"4,266.76",56.42,2.4396,0.8778,0.2014
60.79,"1,858.50",12.51,"1,474.44","4,766.21",33.42,1.4126,0.8929,0.2169
64.29,"1,851.80",4.22,723.13,"2,905.05",29.92,3.8475,0.8481,0.1866
41.75,"2,096.77",7.40,982.11,"8,454.56",87.47,3.5057,0.8279,0.1947
72.88,"1,792.87",0.80,"1,883.07","5,170.23",38.67,1.1877,0.8704,0.1660
68.37,"2,177.53",2.58,"1,989.35","7,343.40",60.56,2.0084,0.719,0.2291
48.03,"1,025.82",5.77,"1,536.89","8,611.67",56.08,2.641,0.7247,0.2328
47.03,"1,355.87",6.15,862.44,"1,553.47",9.43,2.3232,0.8628,0.1972
47.09,409.33,15.80,"1,735.11","4,008.57",66.79,2.1185,0.7851,0.2488
51.05,395.54,13.07,180.12,"4,058.05",28.93,3.2806,0.819,0.2742
58.28,846.76,17.06,330.64,"3,327.86",71.34,0.8759,0.8838,0.2183
55.24,577.16,10.60,"1,424.41",123.20,54.29,2.385,0.8385,0.2768
50.62,885.63,4.41,699.72,"7,607.65",28.39,1.6276,0.8889,0.2157
61.14,724.69,5.90,"1,992.25","1,075.17",31.89,0.9849,0.8036,0.2175
45.65,437.27,5.77,983.26,"9,272.35",65.33,2.3614,0.7746,0.2268
50.65,"2,141.72",5.88,970.15,"7,208.76",49.16,1.2989,0.763,0.1849
53.09,397.99,11.88,"1,457.12","5,419.42",59.70,1.6133,0.7402,0.2441
56.03,"1,806.51",9.42,"1,632.34","1,474.38",14.24,2.5138,0.7192,0.1944
66.82,676.51,6.90,"1,060.60","4,820.18",70.27,4.2031,0.7228,0.2105
47.62,"2,147.38",2.81,548.48,"2,462.04",28.69,3.1554,0.7709,0.1813
57.94,"2,109.77",0.61,"1,643.58","2,380.56",55.38,1.6907,0.7726,0.1491
60.50,"1,647.48",4.02,756.71,"7,733.37",10.35,2.0628,0.7954,0.1909
42.59,"1,682.95",2.09,472.33,"3,570.57",28.78,2.1487,0.8417,0.1850
61.00,392.41,13.83,"1,366.20","4,220.46",57.96,1.2347,0.8788,0.2440
46.66,"2,287.95",2.18,306.57,"7,857.97",24.57,1.2601,0.7548,0.1620
43.20,"2,080.82",12.77,"2,031.34",854.75,78.59,1.2157,0.8787,0.2098
72.19,"2,114.24",6.91,"1,367.68","5,554.89",59.07,2.5669,0.7418,0.2097
72.74,"1,657.82",1.50,"2,059.81","5,402.78",77.70,3.119,0.9294,0.2375
67.59,"1,049.29",14.30,793.01,"3,983.90",35.37,2.8168,0.774,0.2383
51.06,"2,111.42",10.26,"2,031.05","7,735.65",3.16,4.2178,0.896,0.1496
44.27,946.21,4.31,414.48,"8,784.64",51.48,1.1342,0.7532,0.2045
63.51,"1,471.01",15.72,209.15,"4,355.97",30.36,4.2493,0.921,0.2044
55.51,575.07,1.01,194.05,"4,270.76",40.08,2.3678,0.8936,0.2516
45.07,"2,166.20",3.72,"1,039.67","4,696.57",60.84,1.47,0.7905,0.1660
57.31,654.49,13.25,291.99,"6,746.61",62.58,4.093,0.8042,0.1889
42.20,817.29,12.51,"1,132.27","6,235.97",2.59,2.3748,0.7119,0.2278
70.90,"1,462.15",5.24,770.70,"2,107.10",68.70,1.9359,0.7666,0.2140
49.56,"1,860.71",1.30,786.62,633.15,44.12,1.4525,0.775,0.1377
62.80,"1,580.62",15.08,"1,373.97","8,843.66",49.75,1.6482,0.8111,0.2235
51.29,831.29,5.66,448.81,"2,461.68",26.69,4.2231,0.7418,0.2297
58.13,383.90,3.62,"1,630.35","5,962.73",37.64,1.7789,0.8168,0.2392
59.00,"1,847.28",9.16,"1,269.06","7,723.25",63.45,4.218,0.8587,0.1725
47.13,"2,288.60",15.99,"1,920.90","2,825.27",69.36,1.8739,0.7931,0.2239
72.87,"1,949.38",0.98,843.81,"5,933.40",34.63,1.5163,0.7624,0.1548
66.49,"1,272.65",13.49,"2,053.59","1,041.24",61.73,1.3423,0.832,0.2491
71.89,"2,131.01",10.14,"1,256.92","9,035.41",23.13,2.1694,0.7175,0.2241
70.42,"1,175.20",7.59,"2,035.35",579.95,74.29,1.5358,0.7864,0.2389
60.68,"1,397.91",13.11,182.45,"4,104.09",54.48,3.2013,0.8276,0.2477
71.31,"1,305.40",16.95,"1,554.82","5,018.88",69.22,1.5465,0.7853,0.2165
43.97,"1,248.30",4.20,"1,728.38","7,371.26",42.66,3.7025,0.7874,0.2049
47.50,"1,882.19",2.72,233.58,"1,163.91",20.55,3.6975,0.8984,0.2020
42.55,"1,401.46",16.03,"1,263.07","4,128.51",38.39,1.7121,0.9173,0.2325
51.74,994.98,11.81,"1,699.64","2,820.03",34.13,3.4062,0.8938,0.2239
53.82,881.65,7.81,"1,227.96","2,934.09",29.79,3.7827,0.7329,0.2110
49.97,455.13,10.15,254.41,"7,262.82",19.04,2.8147,0.7751,0.2482
68.25,"1,510.65",13.14,"1,487.21",91.25,67.79,2.0046,0.8682,0.2389
52.77,827.09,13.61,248.12,"6,987.35",7.83,2.2748,0.9262,0.2519
50.28,668.74,16.15,"1,730.04","7,555.96",79.24,3.5245,0.7646,0.1639
58.87,"1,647.34",7.62,213.73,"8,399.53",15.73,1.7403,0.9094,0.2227
45.69,"1,700.32",5.31,398.49,"5,854.09",87.47,1.8893,0.8743,0.1982
67.38,"1,837.61",11.30,668.12,"3,132.96",88.23,1.2606,0.9282,0.1794
